predictor_set,predictor,source,forbidden_name_flag
all_safe,Right_Frontal_Region01_pct,C3,False
all_safe,Right_Frontal_Region02_pct,C3,False
all_safe,Right_Frontal_Region03_pct,C3,False
all_safe,Right_Frontal_Region04_pct,C3,False
all_safe,Right_Frontal_Region05_pct,C3,False
all_safe,Right_Frontal_Region06_pct,C3,False
all_safe,Right_Parietal_Region01_pct,C3,False
all_safe,Right_Parietal_Region02_pct,C3,False
all_safe,Right_Parietal_Region03_pct,C3,False
all_safe,Right_Parietal_Region04_pct,C3,False
all_safe,Right_Parietal_Region05_pct,C3,False
all_safe,Right_Parietal_Region06_pct,C3,False
all_safe,Right_Temporal_Region01_pct,C3,False
all_safe,Right_Temporal_Region02_pct,C3,False
all_safe,Right_Temporal_Region03_pct,C3,False
all_safe,Right_Temporal_Region04_pct,C3,False
all_safe,Right_Temporal_Region05_pct,C3,False
all_safe,Right_Temporal_Region06_pct,C3,False
all_safe,Right_Occipital_Region01_pct,C3,False
all_safe,Right_Occipital_Region02_pct,C3,False
all_safe,Right_Occipital_Region03_pct,C3,False
all_safe,Right_Occipital_Region04_pct,C3,False
all_safe,Right_Occipital_Region05_pct,C3,False
all_safe,Right_Occipital_Region06_pct,C3,False
all_safe,Right_Insula_Region01_pct,C3,False
all_safe,Right_Insula_Region02_pct,C3,False
all_safe,Right_Insula_Region03_pct,C3,False
all_safe,Right_Insula_Region04_pct,C3,False
all_safe,Right_Insula_Region05_pct,C3,False
all_safe,Right_Insula_Region06_pct,C3,False
all_safe,Right_Cingulate_Region01_pct,C3,False
all_safe,Right_Cingulate_Region02_pct,C3,False
all_safe,Right_Cingulate_Region03_pct,C3,False
all_safe,Right_Cingulate_Region04_pct,C3,False
all_safe,Right_Cingulate_Region05_pct,C3,False
all_safe,Right_Cingulate_Region06_pct,C3,False
all_safe,Right_DeepNuclei_Region01_pct,C3,False
all_safe,Right_DeepNuclei_Region02_pct,C3,False
all_safe,Right_DeepNuclei_Region03_pct,C3,False
all_safe,Right_DeepNuclei_Region04_pct,C3,False
all_safe,Right_DeepNuclei_Region05_pct,C3,False
all_safe,Right_DeepNuclei_Region06_pct,C3,False
all_safe,Left_Frontal_Region01_pct,C3,False
all_safe,Left_Frontal_Region02_pct,C3,False
all_safe,Left_Frontal_Region03_pct,C3,False
all_safe,Left_Frontal_Region04_pct,C3,False
all_safe,Left_Frontal_Region05_pct,C3,False
all_safe,Left_Frontal_Region06_pct,C3,False
all_safe,Left_Parietal_Region01_pct,C3,False
all_safe,Left_Parietal_Region02_pct,C3,False
all_safe,Left_Parietal_Region03_pct,C3,False
all_safe,Left_Parietal_Region04_pct,C3,False
all_safe,Left_Parietal_Region05_pct,C3,False
all_safe,Left_Parietal_Region06_pct,C3,False
all_safe,Left_Temporal_Region01_pct,C3,False
all_safe,Left_Temporal_Region02_pct,C3,False
all_safe,Left_Temporal_Region03_pct,C3,False
all_safe,Left_Temporal_Region04_pct,C3,False
all_safe,Left_Temporal_Region05_pct,C3,False
all_safe,Left_Temporal_Region06_pct,C3,False
all_safe,Left_Occipital_Region01_pct,C3,False
all_safe,Left_Occipital_Region02_pct,C3,False
all_safe,Left_Occipital_Region03_pct,C3,False
all_safe,Left_Occipital_Region04_pct,C3,False
all_safe,Left_Occipital_Region05_pct,C3,False
all_safe,Left_Occipital_Region06_pct,C3,False
all_safe,Left_Insula_Region01_pct,C3,False
all_safe,Left_Insula_Region02_pct,C3,False
all_safe,Left_Insula_Region03_pct,C3,False
all_safe,Left_Insula_Region04_pct,C3,False
all_safe,Left_Insula_Region05_pct,C3,False
all_safe,Left_Insula_Region06_pct,C3,False
all_safe,Left_Cingulate_Region01_pct,C3,False
all_safe,Left_Cingulate_Region02_pct,C3,False
all_safe,Left_Cingulate_Region03_pct,C3,False
all_safe,Left_Cingulate_Region04_pct,C3,False
all_safe,Left_Cingulate_Region05_pct,C3,False
all_safe,Left_Cingulate_Region06_pct,C3,False
all_safe,Left_DeepNuclei_Region01_pct,C3,False
all_safe,Left_DeepNuclei_Region02_pct,C3,False
all_safe,Left_DeepNuclei_Region03_pct,C3,False
all_safe,Left_DeepNuclei_Region04_pct,C3,False
all_safe,Left_DeepNuclei_Region05_pct,C3,False
all_safe,Left_DeepNuclei_Region06_pct,C3,False
all_safe,falls,C3,False
all_safe,hypertension,C3,False
all_safe,Cerebrovascular_accident,C3,False
all_safe,Epilepsy,C3,False
all_safe,Diabetes_mellitus,C3,False
all_safe,Chronic_kidney_disease,C3,False
all_safe,Parkinsons_disease,C3,False
all_safe,Transient_ischemic_attack,C3,False
all_safe,Chronic_obstructive_lung_disease,C3,False
all_safe,Arthritis,C3,False
all_safe,Heart_failure,C3,False
all_safe,Ischemic_heart_disease,C3,False
all_safe,Atrial_fibrillation,C3,False
all_safe,Chronic_liver_disease,C3,False
all_safe,Coronary_arteriosclerosis,C3,False
all_safe,pathology_ischaemic,C3,False
all_safe,pathology_neurodegenerative_dementia,C3,False
all_safe,wmh_missing,C3,False
all_safe,pathology_ischaemic__missing,C3,False
all_safe,pathology_ischaemic__present,C3,False
all_safe,pathology_ischaemic__log1p,C3,False
all_safe,pathology_neurodegenerative_dementia__missing,C3,False
all_safe,pathology_neurodegenerative_dementia__present,C3,False
all_safe,pathology_neurodegenerative_dementia__log1p,C3,False
dgm,age,C3,False
dgm,sex_Female,C3,False
dgm,MMSE,C3,False
dgm,MTL_total_pct,C3,False
dgm,Temporal_lateral_total_pct,C3,False
dgm,Medial_parietal_total_pct,C3,False
dgm,Posterior_total_pct,C3,False
dgm,Ventricles_total_pct,C3,False
dgm,wmh_icv_pct,C3,False
dgm,wmh_log_icv,C3,False
dgm,wmh_missing,C3,False
dgm,pathology_ischaemic,C3,False
dgm,pathology_ischaemic__missing,C3,False
dgm,pathology_ischaemic__present,C3,False
dgm,pathology_ischaemic__log1p,C3,False
dgm,pathology_neurodegenerative_dementia,C3,False
dgm,pathology_neurodegenerative_dementia__missing,C3,False
dgm,pathology_neurodegenerative_dementia__present,C3,False
dgm,pathology_neurodegenerative_dementia__log1p,C3,False
dgm,falls,C3,False
dgm,hypertension,C3,False
dgm,Cerebrovascular_accident,C3,False
dgm,Epilepsy,C3,False
dgm,Diabetes_mellitus,C3,False
dgm,Chronic_kidney_disease,C3,False
dgm,Parkinsons_disease,C3,False
dgm,Transient_ischemic_attack,C3,False
dgm,Chronic_obstructive_lung_disease,C3,False
dgm,Arthritis,C3,False
dgm,Heart_failure,C3,False
dgm,Ischemic_heart_disease,C3,False
dgm,Atrial_fibrillation,C3,False
dgm,Chronic_liver_disease,C3,False
dgm,Coronary_arteriosclerosis,C3,False
dgm,IMD_Score_2019_synthetic,C3,False
dgm,IMD_Decile_2019_synthetic,C3,False
